,Observation id,Observation date,Total length,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),numfocal,focal_length,Behavioral category 2
0,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,0. Debut du scan,5 Proximite,NaN,POINT,12.447,12.447,1.0,0,892.275,Else
1,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,1. Contact passif,5 Proximite,Lady,POINT,13.304,13.304,1.0,0,892.275,Else
2,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,4. Prox. 2-5 m,5 Proximite,Jeanne,POINT,21.301,21.301,1.0,0,892.275,Else
3,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Immobile,NaN,NaN,STATE,26.018,93.313,67.295,0,892.275,Else
4,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Baillement,NaN,NaN,POINT,60.689,60.689,1.0,0,892.275,Else
5,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Baillement,NaN,NaN,POINT,72.409,72.409,1.0,0,892.275,Else
6,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Jeu social,Jeu,Alaryc,STATE,95.62,99.828,4.208,0,892.275,Affiliative
7,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Immobile,NaN,NaN,STATE,102.545,128.6,26.055,0,892.275,Else
8,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Mimique faciale,Mimique faciale,Focal est emetteur|Retraction du scalp|Alaryc,POINT,118.838,118.838,1.0,0,892.275,Else
9,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est emetteur|Lady,STATE,129.41,161.635,32.224999999999994,0,892.275,Affiliative
10,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,0. Debut du scan,5 Proximite,NaN,POINT,155.565,155.565,1.0,0,892.275,Else
11,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,1. Contact passif,5 Proximite,Lady,POINT,158.094,158.094,1.0,0,892.275,Else
12,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,2. Espace peripersonnel,5 Proximite,Alaryc,POINT,167.098,167.098,1.0,0,892.275,Else
13,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,4. Prox. 2-5 m,5 Proximite,Jeanne,POINT,169.254,169.254,1.0,0,892.275,Else
14,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est emetteur|Lady,STATE,173.177,220.557,47.379999999999995,0,892.275,Affiliative
15,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est recepteur|Lady,STATE,220.557,247.557,27.0,0,892.275,Affiliative
16,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Baillement,NaN,NaN,POINT,235.382,235.382,1.0,0,892.275,Else
17,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Monte,3 Affiliation,Focal est emetteur|Nema|Avec Copulation,STATE,254.844,279.84,24.996,0,892.275,Affiliative
18,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Monte,3 Affiliation,Focal est emetteur|Nema|Sans copulation,STATE,281.767,288.85,7.083,0,892.275,Affiliative
19,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,0. Debut du scan,5 Proximite,NaN,POINT,304.413,304.413,1.0,0,892.275,Else
20,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,1. Contact passif,5 Proximite,Lady,POINT,305.501,305.501,1.0,0,892.275,Else
21,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,4. Prox. 2-5 m,5 Proximite,Jeanne,POINT,308.85,308.85,1.0,0,892.275,Else
22,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est recepteur|Lady,STATE,314.163,332.41,18.247000000000014,0,892.275,Affiliative
23,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Monte,3 Affiliation,Focal est recepteur|Alaryc|Avec Copulation,STATE,335.433,349.415,13.982,0,892.275,Affiliative
24,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Monte,3 Affiliation,Focal est emetteur|Lady|Sans copulation,STATE,350.739,370.457,19.718,0,892.275,Affiliative
25,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Monte,3 Affiliation,Focal est emetteur|Lady|Sans copulation,STATE,374.542,407.085,32.543,0,892.275,Affiliative
26,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Baillement,NaN,NaN,POINT,396.886,396.886,1.0,0,892.275,Else
27,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Se deplace,NaN,NaN,STATE,411.288,413.243,1.955,0,892.275,Self centered
28,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Immobile,NaN,NaN,STATE,414.717,418.461,3.744,0,892.275,Else
29,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Immobile,NaN,NaN,STATE,420.77,421.789,1.019,0,892.275,Else
30,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est recepteur|Lady,STATE,422.365,508.115,85.75,0,892.275,Affiliative
31,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,0. Debut du scan,5 Proximite,NaN,POINT,455.41,455.41,1.0,0,892.275,Else
32,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,1. Contact passif,5 Proximite,Lady,POINT,456.915,456.915,1.0,0,892.275,Else
33,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,4. Prox. 2-5 m,5 Proximite,Alaryc,POINT,460.527,460.527,1.0,0,892.275,Else
34,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est emetteur|Lady,STATE,524.645,560.784,36.13900000000001,0,892.275,Affiliative
35,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est recepteur|Lady,STATE,560.784,708.153,147.36900000000003,0,892.275,Affiliative
36,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,1. Contact passif,5 Proximite,Lady,POINT,604.55,604.55,1.0,0,892.275,Else
37,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,4. Prox. 2-5 m,5 Proximite,Alaryc,POINT,608.833,608.833,1.0,0,892.275,Else
38,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est emetteur|Lady,STATE,723.608,740.601,16.993000000000052,0,892.275,Affiliative
39,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est recepteur|Lady,STATE,740.601,763.387,22.785999999999945,0,892.275,Affiliative
40,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,0. Debut du scan,5 Proximite,NaN,POINT,754.615,754.615,1.0,0,892.275,Else
41,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,1. Contact passif,5 Proximite,Lady,POINT,755.153,755.153,1.0,0,892.275,Else
42,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est emetteur|Lady,STATE,763.387,789.824,26.437000000000012,0,892.275,Affiliative
43,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est emetteur|Lady,STATE,795.519,820.709,25.18999999999994,0,892.275,Affiliative
44,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est recepteur|Lady,STATE,823.936,845.212,21.275999999999954,0,892.275,Affiliative
45,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est emetteur|Lady,STATE,845.212,852.144,6.932000000000016,0,892.275,Affiliative
46,session-jour1,2021-03-02 10:05:24,3850.941,Abricot,Grooming,2 Grooming,Focal est recepteur|Lady,STATE,852.144,904.722,52.577999999999975,0,892.275,Affiliative
47,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,0. Debut du scan,5 Proximite,NaN,POINT,989.602,989.602,1.0,1,928.121,Else
48,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,3. peri<...<2m,5 Proximite,"Gandhi,Gaia",POINT,994.139,994.139,1.0,1,928.121,Else
49,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,4. Prox. 2-5 m,5 Proximite,Olga,POINT,1003.627,1003.627,1.0,1,928.121,Else
50,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1016.074,1113.752,97.678,1,928.121,Else
51,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Se deplace,NaN,NaN,STATE,1113.752,1118.811,5.059,1,928.121,Self centered
52,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1122.858,1158.41,35.552,1,928.121,Else
53,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Non-visible,NaN,NaN,STATE,1158.41,1167.766,9.355999999999995,1,928.121,Else
54,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,0. Debut du scan,5 Proximite,NaN,POINT,1167.766,1167.766,1.0,1,928.121,Else
55,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,4. Prox. 2-5 m,5 Proximite,Nereis,POINT,1174.286,1174.286,1.0,1,928.121,Else
56,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Se deplace,NaN,NaN,STATE,1181.952,1185.068,3.116,1,928.121,Self centered
57,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Non-visible,NaN,NaN,STATE,1185.068,1186.17,1.1020000000000891,1,928.121,Else
58,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1186.17,1187.485,1.315,1,928.121,Else
59,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Se deplace,NaN,NaN,STATE,1187.485,1212.175,24.69,1,928.121,Self centered
60,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1212.175,1213.702,1.527,1,928.121,Else
61,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Se deplace,NaN,NaN,STATE,1213.702,1226.504,12.802,1,928.121,Self centered
62,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1226.504,1362.003,135.499,1,928.121,Else
63,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Mimique faciale,Mimique faciale,Focal est recepteur|Retraction du scalp|Nereis,POINT,1264.326,1264.326,1.0,1,928.121,Else
64,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,4. Prox. 2-5 m,5 Proximite,"Nereis,Yin,Olga",POINT,1316.874,1316.874,1.0,1,928.121,Else
65,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1376.743,1434.458,57.715,1,928.121,Else
66,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1459.723,1465.308,5.585,1,928.121,Else
67,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,0. Debut du scan,5 Proximite,NaN,POINT,1465.82,1465.82,1.0,1,928.121,Else
68,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,3. peri<...<2m,5 Proximite,Gandhi,POINT,1470.709,1470.709,1.0,1,928.121,Else
69,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,4. Prox. 2-5 m,5 Proximite,Yin,POINT,1477.426,1477.426,1.0,1,928.121,Else
70,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1482.355,1531.069,48.714,1,928.121,Else
71,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Se deplace,NaN,NaN,STATE,1531.069,1535.165,4.096,1,928.121,Self centered
72,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Secoue le support,1 Agression,NaN,POINT,1536.027,1536.027,1.0,1,928.121,Aggressive
73,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Baillement,NaN,NaN,POINT,1542.042,1542.042,1.0,1,928.121,Else
74,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Se deplace,NaN,NaN,STATE,1543.917,1557.821,13.904,1,928.121,Self centered
75,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,Immobile,NaN,NaN,STATE,1557.821,1648.756,90.935,1,928.121,Else
76,session-jour1,2021-03-02 10:05:24,3850.941,Alaryc,0. Debut du scan,5 Proximite,NaN,POINT,1615.338,1615.338,1.0,1,928.121,Else
