,Observation id,Observation date,Total length,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),numfocal,focal_length,Behavioral category 2
0,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,0. Debut du scan,5 Proximite,NaN,POINT,40.627,40.627,1.0,0,926.397,Else
1,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,1. Contact passif,5 Proximite,"Ulysse,Yelena",POINT,42.242,42.242,1.0,0,926.397,Else
2,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,3. peri<...<2m,5 Proximite,"Yvan,Djocko",POINT,48.367,48.367,1.0,0,926.397,Else
3,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,Grooming,2 Grooming,Focal est recepteur|Ulysse,STATE,68.523,312.571,244.04800000000003,0,926.397,Affiliative
4,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,Immobile,NaN,NaN,STATE,82.25,979.736,897.486,0,926.397,Else
5,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,Etreinte,3 Affiliation,Yelena,STATE,87.153,976.682,889.529,0,926.397,Affiliative
6,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,0. Debut du scan,5 Proximite,NaN,POINT,216.721,216.721,1.0,0,926.397,Else
7,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,1. Contact passif,5 Proximite,"Ulysse,Yelena",POINT,218.673,218.673,1.0,0,926.397,Else
8,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,Se gratte,Cpt autocentré,bras et jambes,POINT,236.235,236.235,1.0,0,926.397,Self centered
9,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,Selfgrooming,Cpt autocentré,bras et jambes,STATE,251.376,279.334,27.958,0,926.397,Self centered
10,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,Se repose sur,3 Affiliation,Focal est recepteur|Ulysse,STATE,350.554,400.241,49.687,0,926.397,Affiliative
11,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,0. Debut du scan,5 Proximite,NaN,POINT,365.852,365.852,1.0,0,926.397,Else
12,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,1. Contact passif,5 Proximite,"Ulysse,Yelena",POINT,369.333,369.333,1.0,0,926.397,Else
13,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,Se repose sur,3 Affiliation,Focal est recepteur|Ulysse,STATE,424.786,978.274,553.488,0,926.397,Affiliative
14,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,0. Debut du scan,5 Proximite,NaN,POINT,533.604,533.604,1.0,0,926.397,Else
15,0803 am screen7,2021-03-08 10:02:42,5599.527,Quinoa,1. Contact passif,5 Proximite,"Ulysse,Yelena",POINT,534.273,534.273,1.0,0,926.397,Else
