,l_AIP,l_bML,l_bPL,l_MF,l_oPA,l_ML,l_PL,l_bPF,l_AF,l_MD,l_oPL,l_oPO
l_AIP,0.0,0.2472936738765149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1502318199487138
l_bML,0.2472936738765149,0.0,0.1505451390296901,0.2016487503991471,0.2033880149233351,0.0,0.1709738151274585,0.0,0.0,0.0,0.0,0.0
l_bPL,0.0,0.1505451390296901,0.0,0.2282862855204735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_MF,0.0,0.2016487503991471,0.2282862855204735,0.0,0.0,0.1863369142363387,0.1734173164209916,0.0,0.0,0.0,0.0,0.0
l_oPA,0.0,0.2033880149233351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_ML,0.0,0.0,0.0,0.1863369142363387,0.0,0.0,0.0,0.0,0.163049760585749,0.1564455085351557,0.0,0.0
l_PL,0.0,0.1709738151274585,0.0,0.1734173164209916,0.0,0.0,0.0,0.0,0.0,0.0,0.1564133661634734,0.0
l_bPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1637563864623476,0.0,0.0,0.0
l_AF,0.0,0.0,0.0,0.0,0.0,0.163049760585749,0.0,0.1637563864623476,0.0,0.0,0.0,0.0
l_MD,0.0,0.0,0.0,0.0,0.0,0.1564455085351557,0.0,0.0,0.0,0.0,0.0,0.0
l_oPL,0.0,0.0,0.0,0.0,0.0,0.0,0.1564133661634734,0.0,0.0,0.0,0.0,0.0
l_oPO,0.1502318199487138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
