,l_AIP,l_bML,l_bPL,l_MF,l_oPA,l_ML,l_PL,l_bPF,l_AF,l_MD,l_oPL,l_oPO,l_bAL,l_AL,l_oML
l_AIP,0.0,0.2472936738765149,0.118239520226432,0.0,0.1427591719689531,0.0,0.0,0.0,0.0,0.0,0.0,0.1502318199487138,0.0,0.0,0.0
l_bML,0.2472936738765149,0.0,0.1505451390296901,0.2016487503991471,0.2033880149233351,0.136001818824713,0.1709738151274585,0.1380298925905282,0.0,0.0,0.1311543759150599,0.0,0.0,0.1254448967162862,0.0
l_bPL,0.118239520226432,0.1505451390296901,0.0,0.2282862855204735,0.1394216596888569,0.0,0.0,0.0,0.128040894449478,0.1302521429005242,0.0,0.0,0.0,0.0,0.0
l_MF,0.0,0.2016487503991471,0.2282862855204735,0.0,0.1399194005051605,0.1863369142363387,0.1734173164209916,0.0,0.138316151645689,0.0,0.0,0.0,0.1265138348726903,0.0,0.0
l_oPA,0.1427591719689531,0.2033880149233351,0.1394216596888569,0.1399194005051605,0.0,0.1425905231873719,0.0,0.0,0.1220466914310689,0.0,0.0,0.0,0.0,0.0,0.0
l_ML,0.0,0.136001818824713,0.0,0.1863369142363387,0.1425905231873719,0.0,0.0,0.0,0.163049760585749,0.1564455085351557,0.1187253472118958,0.0,0.0,0.0,0.0
l_PL,0.0,0.1709738151274585,0.0,0.1734173164209916,0.0,0.0,0.0,0.0,0.0,0.0,0.1564133661634734,0.0,0.0,0.0,0.0
l_bPF,0.0,0.1380298925905282,0.0,0.0,0.0,0.0,0.0,0.0,0.1637563864623476,0.0,0.0,0.0,0.0,0.0,0.0
l_AF,0.0,0.0,0.128040894449478,0.138316151645689,0.1220466914310689,0.163049760585749,0.0,0.1637563864623476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_MD,0.0,0.0,0.1302521429005242,0.0,0.0,0.1564455085351557,0.0,0.0,0.0,0.0,0.0,0.0,0.1171910867032959,0.0,0.0
l_oPL,0.0,0.1311543759150599,0.0,0.0,0.0,0.1187253472118958,0.1564133661634734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_oPO,0.1502318199487138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_bAL,0.0,0.0,0.0,0.1265138348726903,0.0,0.0,0.0,0.0,0.0,0.1171910867032959,0.0,0.0,0.0,0.0,0.1207029767048036
l_AL,0.0,0.1254448967162862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_oML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1207029767048036,0.0,0.0
