,l_oPL,l_oML,l_oAF,l_oAL,l_oPA,l_oPO,l_AIP,l_F5,l_bPL,l_bML,l_bAL,l_bAM,l_bPF,l_PL,l_ML,l_MF,l_MD,l_AF,l_AL,l_dAF
l_oPL,0.0,0.07156364621077121,0.05771201890388854,0.08109061172499418,-0.034340160777214135,0.04828764752436533,0.10384266703147253,0.0922124874616311,0.0324997808398958,0.16171131723908358,0.08916101121416764,0.0707432699198416,0.03164394617353197,0.08311053970380566,0.2341077032236512,0.16003586405795692,0.13201964972615396,0.020471056945087614,-0.012671086587481256,0.057212230183999305
l_oML,0.07156364621077121,0.0,0.04880394777892011,0.016071031364934985,0.13958957674617986,0.15397190489034562,0.09923444187653023,0.10270716879362253,0.08929658340812904,0.11872938286330356,0.06465044364387484,0.00031825913467024847,0.07442498966248215,0.17779006996508334,0.138628132186792,0.10322691624207966,0.03967622893856712,0.09400258172069695,-0.011833536487716848,0.01772277252115058
l_oAF,0.05771201890388854,0.04880394777892011,0.0,0.02843427749015595,0.041978059447110985,-0.011036858080854473,0.08239774761729424,0.04340873292650457,0.03291748618799614,0.05725655798997614,0.04244898428142524,0.029234240933083494,0.07197685674358706,0.02350757511791733,0.08989403121336938,0.10551837592582101,0.07784150207242584,0.0806988490849299,-0.020402821742407942,0.10508984171826495
l_oAL,0.08109061172499418,0.016071031364934985,0.02843427749015595,0.0,0.03676249583106566,0.0011494463698824807,-0.017429773601494954,0.053253348512923945,0.04975779117586383,0.11079313920886202,0.04262818225421325,-0.0012728151821075027,0.06574374089082426,0.06538638875931604,0.09880940870624762,0.07342588120519024,0.03689444490542819,0.07280312986952635,-0.009627289085228363,-0.01871837680463949
l_oPA,-0.034340160777214135,0.13958957674617986,0.041978059447110985,0.03676249583106566,0.0,0.12739481727241164,0.18884394059112053,0.14868134638839436,0.1907121256955044,0.2584866314958717,0.14401909381804368,0.017565974378389387,0.05827336013345924,0.059752979150243746,0.25368364662353293,0.20139112769761147,0.21621648484772577,0.16774358271123763,-0.01734168352295479,0.1785425756178174
l_oPO,0.04828764752436533,0.15397190489034562,-0.011036858080854473,0.0011494463698824807,0.12739481727241164,0.0,0.17684860065751903,0.09383453439684325,0.1388478775054129,0.18615162047280764,-0.07140803300318256,0.061548295642916556,0.03700603874022254,0.009388679943692774,0.12236878688329839,0.12771911820208637,0.08116649287574332,0.05784730854602592,-0.04114335278490083,0.07000666978119889
l_AIP,0.10384266703147253,0.09923444187653023,0.08239774761729424,-0.017429773601494954,0.18884394059112053,0.17684860065751903,0.0,0.2067762471062059,0.1411091672727607,0.23798175577263125,0.13723182654188779,-0.016214117906957898,0.08970729758653534,0.13151458828908263,0.07261898723061797,0.09860194248216755,0.13454873989516772,0.16227775173461828,0.017734332660208692,0.10896924968996437
l_F5,0.0922124874616311,0.10270716879362253,0.04340873292650457,0.053253348512923945,0.14868134638839436,0.09383453439684325,0.2067762471062059,0.0,0.15516681902003815,0.16120674702195642,0.09074739504247999,0.035107211652602895,0.06490068451426581,0.16313859165253428,0.1617919242364135,0.14943059936176206,0.17683381001078904,0.09946135842117768,-0.03860390662794104,0.08747611110408537
l_bPL,0.0324997808398958,0.08929658340812904,0.03291748618799614,0.04975779117586383,0.1907121256955044,0.1388478775054129,0.1411091672727607,0.15516681902003815,0.0,0.1993391350933491,0.1665585368939391,0.020583666413890672,0.1549524465056587,0.12886752886604047,0.2264884837678633,0.25632780275820766,0.23390531310727639,0.09970153253365856,0.014001563296198422,0.05473504677339017
l_bML,0.16171131723908358,0.11872938286330356,0.05725655798997614,0.11079313920886202,0.2584866314958717,0.18615162047280764,0.23798175577263125,0.16120674702195642,0.1993391350933491,0.0,0.1810374496565884,0.078769909824468,0.25772482734754343,0.2576537041399817,0.24495096972275554,0.26677575308655543,0.24169204305317196,0.11799227896593045,0.030865615937148774,0.09154471309046304
l_bAL,0.08916101121416764,0.06465044364387484,0.04244898428142524,0.04262818225421325,0.14401909381804368,-0.07140803300318256,0.13723182654188779,0.09074739504247999,0.1665585368939391,0.1810374496565884,0.0,0.00997763907508737,0.09393273070134629,0.11163644019049063,0.17383128510804066,0.12801017585656357,0.1440940062041327,0.02839228847293923,-0.02206340197059202,0.014395337505290845
l_bAM,0.0707432699198416,0.00031825913467024847,0.029234240933083494,-0.0012728151821075027,0.017565974378389387,0.061548295642916556,-0.016214117906957898,0.035107211652602895,0.020583666413890672,0.078769909824468,0.00997763907508737,0.0,0.13291554160206281,0.025379720902842177,0.07804258790589996,0.08420214349383233,0.051521356484685504,0.06534633918088102,0.004157264650762257,0.012919830754756029
l_bPF,0.03164394617353197,0.07442498966248215,0.07197685674358706,0.06574374089082426,0.05827336013345924,0.03700603874022254,0.08970729758653534,0.06490068451426581,0.1549524465056587,0.25772482734754343,0.09393273070134629,0.13291554160206281,0.0,0.22029397841650353,0.2220662240282571,0.19055587282088246,0.052678382223807024,0.18429216083143313,0.0424335734703479,0.11502147029244777
