,l_bML,l_MF,l_oPA,l_bPF,l_PL,l_bPL,l_ML,l_MD,l_AIP,l_oPL
l_bML,0.0,0.2667757530865554,0.2584866314958717,0.2577248273475434,0.2576537041399817,0.0,0.2449509697227555,0.2416920430531719,0.2379817557726312,0.0
l_MF,0.2667757530865554,0.0,0.0,0.0,0.0,0.2563278027582076,0.2491043030164603,0.0,0.0,0.0
l_oPA,0.2584866314958717,0.0,0.0,0.0,0.0,0.0,0.2536836466235329,0.0,0.0,0.0
l_bPF,0.2577248273475434,0.0,0.0,0.0,0.0,0.0,0.2220662240282571,0.0,0.0,0.0
l_PL,0.2576537041399817,0.0,0.0,0.0,0.0,0.0,0.2284282834522682,0.0,0.0,0.0
l_bPL,0.0,0.2563278027582076,0.0,0.0,0.0,0.0,0.2264884837678633,0.2339053131072763,0.0,0.0
l_ML,0.2449509697227555,0.2491043030164603,0.2536836466235329,0.2220662240282571,0.2284282834522682,0.2264884837678633,0.0,0.2502226246639495,0.0,0.2341077032236512
l_MD,0.2416920430531719,0.0,0.0,0.0,0.0,0.2339053131072763,0.2502226246639495,0.0,0.0,0.0
l_AIP,0.2379817557726312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l_oPL,0.0,0.0,0.0,0.0,0.0,0.0,0.2341077032236512,0.0,0.0,0.0
